"scenario","configuration","design","all_additive","pve","K","coding","true_share","estimated_share","bias","lower","upper","pip_mass","n_replicates","n_seed_blocks","zero_pip_replicates"
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.3,2,"additive",1,0.642588122073024,-0.357411877926976,0.61925959724264,0.669442104784655,966.699778707052,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.3,2,"recessive",0,0.139371073428274,0.139371073428274,0.126063334447854,0.151241398188013,209.66771904627,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.3,2,"dominant",0,0.218040804498702,0.218040804498702,0.2032966272309,0.231235363901987,328.017263652516,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.4,2,"additive",0,0.203371070055872,0.203371070055872,0.185885979081248,0.217841484166318,311.177947487422,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.4,2,"recessive",0,0.143378798755153,0.143378798755153,0.129395745018328,0.154800294780816,219.383810576319,399,399,0
"Dominant only","add0_rec0_dom2","add0_rec0_dom2",FALSE,0.4,2,"dominant",1,0.653250131188975,-0.346749868811025,0.627194882765962,0.683443971425042,999.537618420498,399,399,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.4,2,"additive",0,0.183750751320873,0.183750751320873,0.167694452467378,0.196558024686402,291.275828224176,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.4,2,"recessive",0.5,0.395830408731343,-0.104169591268657,0.387772564796944,0.405273966413958,627.457734516699,400,400,0
"Recessive + Dominant","add0_rec1_dom1","add0_rec1_dom1",FALSE,0.4,2,"dominant",0.5,0.420418839947784,-0.0795811600522158,0.414085034432938,0.427234583423718,666.434531160079,400,400,0
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.4,2,"additive",0,0.183076107292015,0.183076107292015,0.168318009766192,0.196015282060314,303.319372884841,400,400,0
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.4,2,"recessive",1,0.632897604198369,-0.367102395801631,0.606902842314498,0.662705522706937,1048.58087297851,400,400,0
"Recessive only","add0_rec2_dom0","add0_rec2_dom0",FALSE,0.4,2,"dominant",0,0.184026288509616,0.184026288509616,0.168827550576748,0.197135947986217,304.893627304562,400,400,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.4,2,"additive",0.5,0.430431315426334,-0.0695686845736658,0.420845565703803,0.440040078976329,645.786685251762,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.4,2,"recessive",0,0.138370873704349,0.138370873704349,0.124426998554863,0.150205285881412,207.601223847792,399,399,0
"Additive + Dominant","add1_rec0_dom1","add1_rec0_dom1",FALSE,0.4,2,"dominant",0.5,0.431197810869316,-0.0688021891306835,0.42254414564847,0.441407805019507,646.936677210162,399,399,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.4,2,"additive",0.5,0.416375283067298,-0.0836247169327022,0.409821325444069,0.423502278184292,648.017964262269,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.4,2,"recessive",0.5,0.400192172551447,-0.0998078274485532,0.392317413351224,0.409180994632078,622.831679777131,400,400,0
"Additive + Recessive","add1_rec1_dom0","add1_rec1_dom0",FALSE,0.4,2,"dominant",0,0.183432544381255,0.183432544381255,0.168848056313966,0.195802256548688,285.481844920601,400,400,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.4,2,"additive",1,0.672828292206488,-0.327171707793512,0.64789761928913,0.700665965793477,986.647097564663,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.4,2,"recessive",0,0.132927873771664,0.132927873771664,0.119341764993259,0.14483089710971,194.927743618136,399,399,0
"Additive only","add2_rec0_dom0","add2_rec0_dom0",FALSE,0.4,2,"dominant",0,0.194243834021847,0.194243834021847,0.178764872431322,0.207624430672015,284.842533046561,399,399,0
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.1,3,"additive",0,0.339013798176073,0.339013798176073,0.332708175675769,0.344296739521899,703.292143813739,400,400,1
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.1,3,"recessive",0,0.205475325153713,0.205475325153713,0.197430097600429,0.21349572646273,426.26342262661,400,400,1
"Dominant only","add0_rec0_dom3","add0_rec0_dom3",FALSE,0.1,3,"dominant",1,0.455510876670214,-0.544489123329786,0.444481962064468,0.46681733237952,944.968088931552,400,400,1
