"scenario","pve","K","coding","bin","n","sum_pip","n_true","sum_brier","mean_pip","observed_frequency","brier"
"Recessive + Dominant",0.4,5,"additive",1,3721164,880.944113949874,0,11.0336013734316,0.000236738857505306,0,2.96509408707372e-06
"Recessive only",0.4,5,"additive",1,930485,177.885846223449,0,0.797198584039486,0.000191175404464821,0,8.56755975689544e-07
"Additive only",0.1,1,"dominant",1,930392,340.934348983695,0,1.55674463027379,0.000366441617064307,0,1.67321368871807e-06
"Dominant only",0.1,1,"dominant",1,929911,462.51756124329,181,172.977695590518,0.000497378309583702,0.000194642282971166,0.000186015323606794
"Recessive only",0.1,1,"dominant",1,930502,403.184925430892,0,0.734729878296282,0.000433298289988514,0,7.89605909816724e-07
"Additive only",0.2,1,"dominant",1,930443,313.988244918901,0,0.803022078656197,0.000337461021168304,0,8.63053490279573e-07
"Dominant only",0.2,1,"dominant",1,929779,431.053275112507,128,122.585643307218,0.000463608314569922,0.00013766712304752,0.000131843850320579
"Recessive only",0.2,1,"dominant",1,930503,403.712645668422,0,0.686641700770939,0.000433864958703435,0,7.37925294997372e-07
"Additive only",0.3,1,"dominant",1,930473,318.576038211599,0,0.659673291240073,0.000342380744214608,0,7.08965538215588e-07
"Dominant only",0.3,1,"dominant",1,930350,420.971729578605,95,91.9276265487834,0.000452487482752303,0.000102112108346321,9.88097238123108e-05
"Recessive only",0.3,1,"dominant",1,930503,406.589912464665,0,0.687438026631698,0.000436957121540355,0,7.38781096494797e-07
"Additive only",0.4,1,"dominant",1,930482,315.023946099361,0,0.603352801693609,0.000338559957204288,0,6.48430385212835e-07
"Dominant only",0.4,1,"dominant",1,929734,409.662162301115,87,83.8093799517461,0.000440622976357878,9.35751516025014e-05,9.01433958011066e-05
"Recessive only",0.4,1,"dominant",1,930503,408.984490756152,0,0.691797991437002,0.000439530545045155,0,7.43466696439455e-07
"Additive + Dominant",0.1,2,"dominant",1,927871,495.831478451493,254,247.367151429795,0.000534375444917982,0.000273744949459569,0.000266596489630342
"Additive + Recessive",0.1,2,"dominant",1,930397,411.354641697643,0,2.40296741408173,0.000442128082633159,0,2.58273340743975e-06
