tissue,model,analysis_set,distance_to_tss_kb,bin_lower_kb,bin_upper_kb,count,proportion,percentage,n_cs_total,n_cs_in_window
Blood,Weighted SuSiE-mix,CSs without a shared biological lead SNP,190,185,195,0,0,0,22,20
Blood,Weighted SuSiE-mix,CSs without a shared biological lead SNP,200,195,205,0,0,0,22,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-200,-205,-195,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-190,-195,-185,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-180,-185,-175,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-170,-175,-165,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-160,-165,-155,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-150,-155,-145,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-140,-145,-135,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-130,-135,-125,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-120,-125,-115,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-110,-115,-105,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-100,-105,-95,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-90,-95,-85,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-80,-85,-75,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-70,-75,-65,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-60,-65,-55,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-50,-55,-45,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-40,-45,-35,0,0,0,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-30,-35,-25,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-20,-25,-15,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,-10,-15,-5,1,0.05,5,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,0,-5,5,2,0.1,10,27,20
Blood Vessel,SuSiE,CSs without a shared biological lead SNP,10,5,15,2,0.1,10,27,20
