"scenario","pve","K","method","n_cs","covered_cs","purity_sum","recovered","n_causal","n_replicates","n_configurations","coverage","purity","power"
"Recessive + dominant",0.3,2,"SuSiE",701,658,650.743175144169,659,800,400,1,0.938659058487874,0.928306954556589,0.82375
"Recessive + dominant",0.3,2,"SuSiE-mix",801,784,776.026593438503,781,800,400,1,0.978776529338327,0.968822214030591,0.97625
"Recessive + dominant",0.3,3,"SuSiE",1709,1523,1515.75581318348,1532,2400,800,2,0.891164423639555,0.886925578223219,0.638333333333333
"Recessive + dominant",0.3,3,"SuSiE-mix",2330,2240,2187.61166561646,2248,2400,800,2,0.96137339055794,0.938889126874019,0.936666666666667
"Recessive + dominant",0.3,4,"SuSiE",2655,2324,2314.21934277066,2369,4800,1200,3,0.875329566854991,0.871645703491773,0.493541666666667
"Recessive + dominant",0.3,4,"SuSiE-mix",4330,4170,3965.16296345399,4196,4800,1200,3,0.963048498845266,0.915742023892376,0.874166666666667
"Recessive + dominant",0.3,5,"SuSiE",3407,2977,2918.6427756992,3076,8000,1600,4,0.873789257411212,0.856660632726504,0.3845
"Recessive + dominant",0.3,5,"SuSiE-mix",6409,6045,5721.2871193321,6152,8000,1600,4,0.943204868154158,0.892695758984568,0.769
"Recessive + dominant",0.4,2,"SuSiE",762,702,720.642601066948,703,800,400,1,0.921259842519685,0.945725198250588,0.87875
"Recessive + dominant",0.4,2,"SuSiE-mix",803,786,790.577949148351,784,800,400,1,0.978829389788294,0.98453044725822,0.98
"Recessive + dominant",0.4,3,"SuSiE",2025,1798,1854.38752275512,1802,2400,800,2,0.887901234567901,0.915746924817342,0.750833333333333
"Recessive + dominant",0.4,3,"SuSiE-mix",2361,2284,2283.21511939829,2287,2400,800,2,0.967386700550614,0.967054264887035,0.952916666666667
"Recessive + dominant",0.4,4,"SuSiE",3390,2969,3052.63983067123,3000,4800,1200,3,0.875811209439528,0.90048372586172,0.625
"Recessive + dominant",0.4,4,"SuSiE-mix",4585,4427,4367.74631957207,4443,4800,1200,3,0.965539803707743,0.952616427387584,0.925625
"Recessive + dominant",0.4,5,"SuSiE",4702,4087,4167.88002044791,4174,8000,1600,4,0.869204593789877,0.886405789121205,0.52175
"Recessive + dominant",0.4,5,"SuSiE-mix",7346,6966,6882.47715368323,7027,8000,1600,4,0.948271167982576,0.936901327754319,0.878375
"Recessive only",0.1,1,"SuSiE",219,209,183.618221564305,209,400,400,1,0.954337899543379,0.838439367873538,0.5225
"Recessive only",0.1,1,"SuSiE-mix",395,385,367.393018008022,385,400,400,1,0.974683544303797,0.930108906349423,0.9625
"Recessive only",0.1,2,"SuSiE",113,101,85.9547794065177,101,800,400,1,0.893805309734513,0.760661764659449,0.12625
